Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25,0.29,0.19,2,0.9999999999994618
Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,23,0.0,0.31,2,0.9999999999996065
Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26,0.38,0.09,2,0.9999999980984191
Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25,0.13,0.06,2,0.9999999312214808
Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28,0.35,0.28,2,1.0
Joaquín Correa,ar ARG,"FW,MF",Inter,it Serie A,29,0.25,0.25,2,0.9842611780851521
Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,22,0.09,0.09,2,0.9999999999432161
Yan Couto,br BRA,"DF,FW",Dortmund,de Bundesliga,22,0.0,0.0,2,1.0
Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24,0.2,0.16,2,0.9999999999999538
Cucho,co COL,FW,Betis,es La Liga,25,0.39,0.08,2,0.9999999999582299
Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25,0.52,0.21,2,1.0
Thijs Dallinga,nl NED,FW,Bologna,it Serie A,23,0.23,0.16,2,0.9999998676705592
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24,0.06,0.31,2,0.9999999998850067
Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27,0.14,0.0,2,0.9999999999999987
Keinan Davis,eng ENG,FW,Udinese,it Serie A,26,0.17,0.08,2,0.9999999984263361
Kevin De Bruyne,be BEL,"MF,FW",Manchester City,eng Premier League,33,0.21,0.37,2,1.0
Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23,0.3,0.3,2,0.9999999999999937
Fisayo Dele-Bashiru,ng NGA,"MF,FW",Lazio,it Serie A,23,0.29,0.1,2,0.9999999987954
Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,27,0.37,0.12,2,0.999999999998892
Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,18,0.21,0.11,2,0.9999999999977938
Amad Diallo,ci CIV,"MF,FW",Manchester Utd,eng Premier League,22,0.38,0.28,2,0.9999999999999449
Assane Diao,sn SEN,"FW,MF",Como,it Serie A,18,0.58,0.07,2,0.9999999999999951
Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,24,0.26,0.13,2,1.0
Luis Díaz,co COL,FW,Liverpool,eng Premier League,27,0.49,0.19,2,0.9999999999999813
Tyler Dibling,eng ENG,"FW,MF",Southampton,eng Premier League,18,0.1,0.0,2,1.0
Diego,es ESP,FW,Leganés,es La Liga,24,0.23,0.0,2,0.9999998820159436
Federico Dimarco,it ITA,"DF,FW",Inter,it Serie A,26,0.17,0.29,2,0.9999999999989253
Eren Dinkçi,de GER,"MF,FW",Freiburg,de Bundesliga,22,0.0,0.23,2,0.9999999989410284
Yan Diomandé,ci CIV,"MF,FW",Leganés,es La Liga,17,0.33,0.16,2,0.9999903979417541
Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,24,0.51,0.34,2,0.9999999999493449
Álvaro djaló,es ESP,FW,Athletic Club,es La Liga,24,0.14,0.0,2,0.9999098993202934
Ritsu Doan,jp JPN,"FW,MF",Freiburg,de Bundesliga,26,0.31,0.22,2,0.9999999999999725
Benjamín Domínguez,ar ARG,FW,Bologna,it Serie A,20,0.21,0.14,2,0.999999999999984
Désiré Doué,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,19,0.31,0.31,2,1.0
Kamory Doumbia,ml MLI,"MF,FW",Brest,fr Ligue 1,21,0.2,0.14,2,0.9999999999904801
Denzel Dumfries,nl NED,"DF,FW",Inter,it Serie A,28,0.34,0.1,2,0.9999999503579623
Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,23,0.26,0.26,2,0.9999999994842748
Milan Đurić,ba BIH,FW,Monza,it Serie A,34,0.28,0.07,2,0.9999999996456079
Chidera Ejuke,ng NGA,FW,Sevilla,es La Liga,26,0.19,0.09,2,1.0
Jeff Ekhator,it ITA,"FW,MF",Genoa,it Serie A,17,0.12,0.12,2,0.9881843282950793
Jacques Ekomie,ga GAB,"DF,FW",Angers,fr Ligue 1,20,0.0,0.0,2,0.9999999999999998
Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,22,0.22,0.4,2,1.0
Elif Elmas,mk MKD,"FW,MF",Torino,it Serie A,24,0.35,0.0,2,0.98899707063352
