Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,eng Premier League,16,0.0,0.0,0,0.999999999788475
Lucas Ocampos,ar ARG,FW,Sevilla,es La Liga,30,0.0,0.53,0,0.999999991117452
Wilson Odobert,fr FRA,"FW,MF",Tottenham,eng Premier League,19,0.11,0.0,0,0.9820816219835848
Chiedozie Ogbene,ie IRL,FW,Ipswich Town,eng Premier League,27,0.0,0.0,0,0.9999739407352252
Hamzat Ojediran,ng NGA,"MF,FW",Lens,fr Ligue 1,20,0.22,0.0,0,0.9999999957161698
Noah Okafor,ch SUI,FW,Milan,it Serie A,24,0.22,0.0,0,0.9999821258618838
Kazeem Olaigbe,be BEL,"MF,FW",Rennes,fr Ligue 1,21,0.0,0.61,0,0.9999999999316445
Ben Old,nz NZL,"FW,MF",Saint-Étienne,fr Ligue 1,21,0.0,0.0,0,0.9943225853333812
Jacob Ondrejka,se SWE,"MF,FW",Parma,it Serie A,21,1.06,0.0,0,0.9999999999999782
Karim Onisiwo,at AUT,"MF,FW",Mainz 05,de Bundesliga,32,0.0,0.0,0,0.9999999988148449
Gift Orban,ng NGA,FW,Hoffenheim,de Bundesliga,22,0.53,0.0,0,0.9988994119316763
Gift Orban,ng NGA,"FW,DF",Lyon,fr Ligue 1,22,0.95,0.0,0,0.9999999999609868
Gabriel Osei Misehouy,nl NED,"FW,MF",Girona,es La Liga,19,0.34,0.0,0,0.9999892914694785
William Osula,dk DEN,FW,Newcastle Utd,eng Premier League,20,0.67,0.0,0,1.0
Guimissongui Ouattara,fr FRA,"DF,FW",Strasbourg,fr Ligue 1,18,0.19,0.19,0,0.9999943509608726
Kassoum Ouattara,fr FRA,"DF,FW",Monaco,fr Ligue 1,19,0.0,0.23,0,0.9999999995395203
Remi Oudin,fr FRA,"MF,FW",Lecce,it Serie A,27,0.0,0.0,0,0.9999703083802719
Álvaro Pascual,es ESP,FW,Sevilla,es La Liga,22,0.22,0.0,0,0.9570995458680844
Leonardo Pavoletti,it ITA,"FW,MF",Cagliari,it Serie A,35,0.41,0.0,0,0.9999999999989315
Nicolas Pays,fr FRA,"FW,MF",Montpellier,fr Ligue 1,20,0.0,0.0,0,0.9999972804117082
Jordan Pefok,us USA,FW,Union Berlin,de Bundesliga,28,0.0,0.1,0,0.6838641604406572
Jordan Pefok,us USA,FW,Reims,fr Ligue 1,28,0.24,0.0,0,0.9999979227176035
Pietro Pellegri,it ITA,FW,Empoli,it Serie A,23,0.65,0.0,0,0.9999999999152305
Mateo Pellegrino,ar ARG,FW,Parma,it Serie A,23,0.37,0.12,0,0.6388064028193153
Sergiu Perciun,md MDA,"FW,MF",Torino,it Serie A,18,0.0,0.0,0,0.9999999992867004
